OBJECTID,Shape_Leng,DISTRICT,STATE_UT,Shape_Area,Dist_LGD,REMARKS,STATE_LGD,system:index
272,0.0,,,5857634.41327,,DISPUTED (JHARKHAND & BIHAR),0,0000000000000000010d
0,0.0,,,940735.126369,,DISPUTED (RAJSTHAN & GUJRAT),0,0000000000000000039c
0,0.0,,,428266.589617,,DISPUTED (RAJSTHAN & GUJRAT),0,0000000000000000039d
0,0.0,,,270686.627578,,DISPUTED (RAJSTHAN & GUJRAT),0,0000000000000000039e
0,0.0,,,179270.430718,,DISPUTED (RAJSTHAN & GUJRAT),0,0000000000000000039f
0,0.0,,,13849.448731,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a0
0,0.0,,,937780.705794,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a1
0,0.0,,,1080926.91437,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a2
0,0.0,,,17188.1506385,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a3
0,0.0,,,122207.293665,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a4
0,0.0,,,164538.670724,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a5
0,0.0,,,56773.9816204,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a6
0,0.0,,,148675.344691,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a7
0,0.0,,,207195.610545,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a8
0,0.0,,,1274714.3003,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003a9
0,0.0,,,1628434.71816,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003aa
0,0.0,,,4341545.11172,,DISPUTED (RAJSTHAN & GUJRAT),0,000000000000000003ab
0,0.0,,,3402968.71386,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003ac
0,0.0,,,8037774.82014,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003ad
0,0.0,,,2919898.2782,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003ae
0,0.0,,,4170099.50127,,DISPUTED (GUJRAT & MADHYA PRADESH),0,000000000000000003af
0,0.0,,,51965.9887642,,DISPUTED (GUJRAT & MADHYA PRADESH),0,000000000000000003b0
0,0.0,,,690105.424697,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003b1
0,0.0,,,165406.700181,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003b2
0,0.0,,,36901.4813155,,DISPUTED (RAJSTHAN & MADHYA PRADESH),0,000000000000000003b3
0,0.0,,,2636589.32479,,DISPUTED (UTTAR PRADESH & MADHYA PRADESH),0,000000000000000003b4
0,0.0,,,2144483.36263,,DISPUTED (GUJRAT & MAHARASHTRA),0,000000000000000003b5
0,0.0,,,1296888.42374,,DISPUTED (GUJRAT & MAHARASHTRA),0,000000000000000003b6
250,438559.905538,MIRPUR,JAMMU AND KASHMIR,3.57890820759E9,NOT AVAILABLE,,1,000000000000000000f7
251,594020.745396,MUZAFFARABAD,JAMMU AND KASHMIR,4.78221682989E9,NOT AVAILABLE,,1,000000000000000000f8
252,404743.70314,PUNCH,JAMMU AND KASHMIR,4.20736294054E9,10,,1,000000000000000000f9
253,357458.948993,ANANTNAG,JAMMU AND KASHMIR,2.7045916464E9,1,,1,000000000000000000fa
254,274647.081292,BARAMULA,JAMMU AND KASHMIR,2.04907403592E9,3,,1,000000000000000000fb
255,312247.410776,KATHUA,JAMMU AND KASHMIR,2.46125298333E9,7,,1,000000000000000000fc
256,288814.289858,UDHAMPUR,JAMMU AND KASHMIR,2.24837362574E9,14,,1,000000000000000000fd
257,197128.416846,BADGAM,JAMMU AND KASHMIR,1.23993827235E9,2,,1,000000000000000000fe
258,420303.218779,BANDIPURA,JAMMU AND KASHMIR,4.02912926764E9,623,,1,000000000000000000ff
259,331742.084161,GANDERBAL,JAMMU AND KASHMIR,1.61075840071E9,626,,1,00000000000000000100
260,254099.489446,KULGAM,JAMMU AND KASHMIR,1.25258861412E9,622,,1,00000000000000000101
261,285264.236715,KUPWARA,JAMMU AND KASHMIR,2.73309887493E9,8,,1,00000000000000000102
262,187781.081236,PULWAMA,JAMMU AND KASHMIR,8.89648679843E8,11,,1,00000000000000000103
263,308772.18363,RAJAURI,JAMMU AND KASHMIR,2.60469518302E9,12,,1,00000000000000000104
264,166556.496024,RAMBAN,JAMMU AND KASHMIR,1.27353671313E9,621,,1,00000000000000000105
265,328241.986919,RIASI,JAMMU AND KASHMIR,1.90955776635E9,627,,1,00000000000000000106
266,163208.517496,SHUPIYAN,JAMMU AND KASHMIR,5.01083824278E8,625,,1,00000000000000000107
267,166004.844838,SRINAGAR,JAMMU AND KASHMIR,2.79773782488E8,13,,1,00000000000000000108
268,569459.854812,KISHTWAR,JAMMU AND KASHMIR,8.08900499273E9,620,,1,00000000000000000109
269,292256.661541,DODA,JAMMU AND KASHMIR,2.37750854692E9,04,,1,0000000000000000010a
270,194152.890961,SAMBA,JAMMU AND KASHMIR,9.13378106563E8,624,,1,0000000000000000010b
271,379215.133327,JAMMU,JAMMU AND KASHMIR,2.37542352341E9,5,,1,0000000000000000010c
238,253303.283596,BIL>SPUR,Himachal Pradesh,1.13984115008E9,30,,2,000000000000000000eb
239,551656.103997,SHIMLA,Himachal Pradesh,5.00702273151E9,33,,2,000000000000000000ec
240,518870.713511,KINNAUR,Himachal Pradesh,6.21929928468E9,34,,2,000000000000000000ed
241,319238.797953,SOLAN,Himachal Pradesh,1.88978734576E9,31,,2,000000000000000000ee
242,349596.851094,SIRMAUR,Himachal Pradesh,2.75532620296E9,32,,2,000000000000000000ef
243,422724.960723,KULLU,Himachal Pradesh,5.37932433397E9,26,,2,000000000000000000f0
244,561018.426293,CHAMBA,Himachal Pradesh,6.41137470761E9,23,,2,000000000000000000f1
245,335860.110422,MANDI,Himachal Pradesh,3.86714039841E9,27,,2,000000000000000000f2
246,571924.231106,K>NGRA,Himachal Pradesh,5.63380636109E9,24,,2,000000000000000000f3
247,188675.93912,HAM|RPUR,Himachal Pradesh,1.09245554865E9,28,,2,000000000000000000f4
248,248875.141617,UNA,Himachal Pradesh,1.50987751889E9,29,,2,000000000000000000f5
249,922255.375396,LAHUL & SPITI,Himachal Pradesh,1.36791509569E10,25,,2,000000000000000000f6
614,385056.483121,FIROZPUR,PUNJAB,2.31405324757E9,31,,3,0000000000000000025c
615,398856.01997,LUDHIANA,PUNJAB,3.59912829144E9,36,,3,0000000000000000025d
616,332146.977723,RUPNAGAR,PUNJAB,1.34256984684E9,42,,3,0000000000000000025e
617,345168.466356,MANSA,PUNJAB,2.11033572667E9,37,,3,0000000000000000025f
618,353904.864147,SRI MUKTSAR SAHIB,PUNJAB,2.57052572214E9,39,,3,00000000000000000260
619,315615.195863,SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR),PUNJAB,1.06534820738E9,608,,3,00000000000000000261
620,455724.597931,JALANDHAR,PUNJAB,2.57878350538E9,34,,3,00000000000000000262
621,246908.587369,PATHANKOT,PUNJAB,9.33021429607E8,662,,3,00000000000000000263
622,232052.269593,FARIDKOT,PUNJAB,1.42377513523E9,29,,3,00000000000000000264
623,305850.123395,MOGA,PUNJAB,2.19488516727E9,38,,3,00000000000000000265
624,432605.848036,HOSHIARPUR,PUNJAB,3.31139243664E9,33,,3,00000000000000000266
625,423493.075969,BATHINDA,PUNJAB,3.28672868583E9,28,,3,00000000000000000267
626,314763.305217,TARN TARAN,PUNJAB,2.36108761376E9,609,,3,00000000000000000268
627,365353.754267,FAZILKA,PUNJAB,2.79883058865E9,651,,3,00000000000000000269
628,638392.494574,PATIALA,PUNJAB,3.22729480075E9,41,,3,0000000000000000026a
629,263509.141549,SHAHID BHAGAT SINGH NAGAR,PUNJAB,1.23429626652E9,40,,3,0000000000000000026b
630,246764.006365,BARNALA,PUNJAB,1.38679290683E9,605,,3,0000000000000000026c
631,329343.615225,GURDASPUR,PUNJAB,2.55262289918E9,32,,3,0000000000000000026d
632,437645.667489,KAPURTHALA,PUNJAB,1.595462047E9,35,,3,0000000000000000026e
633,244335.235364,FATEHGARH SAHIB,PUNJAB,1.12205275054E9,30,,3,0000000000000000026f
634,380102.553442,AMRITSAR,PUNJAB,2.62310571541E9,27,,3,00000000000000000270
635,193402.215269,MALER KOTLA,PUNJAB,6.6446686925E8,737,,3,00000000000000000271
636,459469.138396,SANGRUR,PUNJAB,2.84613229438E9,43,,3,00000000000000000272
844,62113.0761341,CHANDIGARH,CHANDIGARH,1.11867387095E8,055,,4,0000000000000000033e
773,315673.159842,B>GESHWAR,UTTAR>KHAND,2.1730759134E9,46,,5,000000000000000002fa
